Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00748662	0.15	3854.31
0.00751129	0.15	3854.25
0.00753603	0.15	3854.19
0.00756086	0.15	3854.14
0.00758578	0.15	3854.08
0.00761077	0.15	3854.02
0.00763585	0.15	3853.96
0.007661	0.15	3853.91
0.00768625	0.15	3853.85
0.00771157	0.15	3853.79
0.00773698	0.15	3853.73
0.00776247	0.15	3853.67
0.00778805	0.15	3853.61
0.00781371	0.15	3853.55
0.00783945	0.15	3853.49
0.00786528	0.15	3853.43
0.0078912	0.15	3853.38
0.0079172	0.15	3853.32
0.00794328	0.15	3853.25
0.00796945	0.15	3853.19
0.00799571	0.15	3853.13
0.00802206	0.15	3853.07
0.00804849	0.15	3853.01
0.00807501	0.15	3852.95
0.00810161	0.15	3852.89
0.00812831	0.15	3852.83
0.00815509	0.15	3852.77
0.00818196	0.15	3852.7
0.00820891	0.15	3852.64
0.00823596	0.15	3852.58
0.0082631	0.15	3852.51
0.00829032	0.15	3852.45
0.00831764	0.15	3852.39
0.00834504	0.15	3852.32
0.00837254	0.15	3852.26
0.00840012	0.15	3852.2
0.0084278	0.15	3852.13
0.00845557	0.15	3852.07
0.00848343	0.15	3852
0.00851138	0.15	3851.94
0.00853942	0.15	3851.87
0.00856756	0.15	3851.81
0.00859579	0.15	3851.74
0.00862411	0.15	3851.68
0.00865252	0.15	3851.61
0.00868103	0.15	3851.54
0.00870964	0.15	3851.48
0.00873833	0.15	3851.41
0.00876712	0.15	3851.34
0.00879601	0.15	3851.27
0.00882499	0.15	3851.21
0.00885407	0.15	3851.14
0.00888324	0.15	3851.07
0.00891251	0.15	3851
0.00894187	0.15	3850.93
0.00897134	0.15	3850.86
0.0090009	0.15	3850.79
0.00903055	0.15	3850.72
0.00906031	0.15	3850.66
0.00909016	0.15	3850.58
0.00912011	0.15	3850.51
0.00915016	0.15	3850.44
0.00918031	0.15	3850.37
0.00921055	0.15	3850.3
0.0092409	0.15	3850.23
0.00927135	0.15	3850.16
0.00930189	0.15	3850.09
0.00933254	0.15	3850.02
0.00936329	0.15	3849.94
0.00939414	0.15	3849.87
0.00942509	0.15	3849.8
0.00945615	0.15	3849.72
0.0094873	0.15	3849.65
0.00951856	0.15	3849.58
0.00954993	0.15	3849.5
0.00958139	0.15	3849.43
0.00961296	0.15	3849.35
0.00964463	0.15	3849.28
0.00967641	0.15	3849.2
0.00970829	0.15	3849.13
0.00974028	0.15	3849.05
0.00977237	0.15	3848.98
0.00980457	0.15	3848.9
0.00983687	0.15	3848.82
0.00986929	0.15	3848.75
0.0099018	0.15	3848.67
0.00993443	0.15	3848.59
0.00996716	0.15	3848.51
0.01	0.15	3848.44
0.0100329	0.15	3848.36
0.010066	0.15	3848.28
0.0100992	0.15	3848.2
0.0101324	0.15	3848.12
0.0101658	0.15	3848.04
0.0101993	0.15	3847.96
0.0102329	0.15	3847.88
0.0102666	0.15	3847.8
0.0103005	0.15	3847.72
0.0103344	0.15	3847.64
0.0103685	0.15	3847.56
0.0104026	0.15	3847.48
0.0104369	0.15	3847.39
0.0104713	0.15	3847.31
0.0105058	0.15	3847.23
0.0105404	0.15	3847.15
0.0105751	0.15	3847.06
0.01061	0.15	3846.98
0.0106449	0.15	3846.9
0.01068	0.15	3846.81
0.0107152	0.15	3846.73
0.0107505	0.15	3846.64
0.0107859	0.15	3846.56
0.0108215	0.15	3846.47
0.0108571	0.15	3846.39
0.0108929	0.15	3846.3
0.0109288	0.15	3846.21
0.0109648	0.15	3846.13
0.0110009	0.15	3846.04
0.0110372	0.15	3845.95
0.0110735	0.15	3845.87
0.01111	0.15	3845.78
0.0111466	0.15	3845.69
0.0111833	0.15	3845.6
0.0112202	0.15	3845.51
0.0112572	0.15	3845.42
0.0112942	0.15	3845.33
0.0113315	0.15	3845.24
0.0113688	0.15	3845.15
0.0114062	0.15	3845.06
0.0114438	0.15	3844.97
0.0114815	0.15	3844.88
0.0115194	0.15	3844.79
0.0115573	0.15	3844.69
0.0115954	0.15	3844.6
0.0116336	0.15	3844.51
0.0116719	0.15	3844.42
0.0117104	0.15	3844.32
0.011749	0.15	3844.23
0.0117877	0.15	3844.13
0.0118265	0.15	3844.04
0.0118655	0.15	3843.94
0.0119046	0.15	3843.85
0.0119438	0.15	3843.75
0.0119832	0.15	3843.66
0.0120226	0.15	3843.56
0.0120623	0.15	3843.46
0.012102	0.15	3843.37
0.0121419	0.15	3843.27
0.0121819	0.15	3843.17
0.012222	0.15	3843.07
0.0122623	0.15	3842.97
0.0123027	0.15	3842.87
0.0123432	0.15	3842.78
0.0123839	0.15	3842.68
0.0124247	0.15	3842.58
0.0124656	0.15	3842.47
0.0125067	0.15	3842.37
0.0125479	0.15	3842.27
0.0125893	0.15	3842.17
0.0126307	0.15	3842.07
0.0126723	0.15	3841.97
0.0127141	0.15	3841.86
0.012756	0.15	3841.76
0.012798	0.15	3841.65
0.0128402	0.15	3841.55
0.0128825	0.15	3841.45
0.0129249	0.15	3841.34
0.0129675	0.15	3841.24
0.0130103	0.15	3841.13
0.0130531	0.15	3841.02
0.0130961	0.15	3840.92
0.0131393	0.15	3840.81
0.0131826	0.15	3840.7
0.013226	0.15	3840.59
0.0132696	0.15	3840.49
0.0133133	0.15	3840.38
0.0133572	0.15	3840.27
0.0134012	0.15	3840.16
0.0134453	0.15	3840.05
0.0134896	0.15	3839.94
0.0135341	0.15	3839.83
0.0135787	0.15	3839.71
0.0136234	0.15	3839.6
0.0136683	0.15	3839.49
0.0137133	0.15	3839.38
0.0137585	0.15	3839.27
0.0138038	0.15	3839.15
0.0138493	0.15	3839.04
0.013895	0.15	3838.92
0.0139407	0.15	3838.81
0.0139867	0.15	3838.69
0.0140328	0.15	3838.58
0.014079	0.15	3838.46
0.0141254	0.15	3838.34
0.0141719	0.15	3838.23
0.0142186	0.15	3838.11
0.0142655	0.15	3837.99
0.0143125	0.15	3837.87
0.0143596	0.15	3837.75
0.0144069	0.15	3837.63
0.0144544	0.15	3837.51
0.014502	0.15	3837.39
0.0145498	0.15	3837.27
0.0145977	0.15	3837.15
0.0146458	0.15	3837.03
0.0146941	0.15	3836.91
0.0147425	0.15	3836.78
0.0147911	0.15	3836.66
0.0148398	0.15	3836.54
0.0148887	0.15	3836.41
0.0149378	0.15	3836.29
0.014987	0.15	3836.16
0.0150364	0.15	3836.04
0.0150859	0.15	3835.91
0.0151356	0.15	3835.78
0.0151855	0.15	3835.65
0.0152355	0.15	3835.53
0.0152857	0.15	3835.4
0.0153361	0.15	3835.27
0.0153866	0.15	3835.14
0.0154373	0.15	3835.01
0.0154882	0.15	3834.88
0.0155392	0.15	3834.75
0.0155904	0.15	3834.62
0.0156418	0.15	3834.49
0.0156933	0.15	3834.35
0.015745	0.15	3834.22
0.0157969	0.15	3834.09
0.0158489	0.15	3833.95
0.0159012	0.15	3833.82
0.0159535	0.15	3833.68
0.0160061	0.15	3833.55
0.0160588	0.15	3833.41
0.0161118	0.15	3833.27
0.0161648	0.15	3833.14
0.0162181	0.15	3833
0.0162715	0.15	3832.86
0.0163251	0.15	3832.72
0.0163789	0.15	3832.58
0.0164329	0.15	3832.44
0.016487	0.15	3832.3
0.0165414	0.15	3832.16
0.0165959	0.15	3832.02
0.0166505	0.15	3831.87
0.0167054	0.15	3831.73
0.0167605	0.15	3831.59
0.0168157	0.15	3831.44
0.0168711	0.15	3831.3
0.0169267	0.15	3831.15
0.0169824	0.15	3831.01
0.0170384	0.15	3830.86
0.0170945	0.15	3830.71
0.0171509	0.15	3830.56
0.0172074	0.15	3830.41
0.0172641	0.15	3830.27
0.0173209	0.15	3830.12
0.017378	0.15	3829.97
